iter	Passed	Remaining
198	24929	37707
199	25056	37584
200	25173	37447
201	25293	37314
202	25435	37214
203	25553	37077
204	25673	36945
205	25805	36829
206	25937	36712
207	26062	36587
208	26184	36458
209	26321	36348
210	26442	36217
211	26554	36073
212	26672	35939
213	26796	35812
214	26914	35677
215	27035	35546
216	27161	35422
217	27284	35294
218	27444	35214
219	27614	35145
220	27776	35065
221	27922	34966
222	28044	34836
223	28166	34704
224	28299	34588
225	28419	34455
226	28544	34328
227	28659	34189
228	28791	34072
229	28910	33938
230	29044	33822
231	29173	33700
232	29302	33578
233	29428	33453
234	29564	33339
235	29691	33214
236	29821	33093
237	29952	32972
238	30084	32854
239	30214	32732
240	30337	32603
241	30468	32482
242	30591	32354
243	30721	32231
244	30849	32108
245	30977	31985
246	31095	31851
247	31232	31736
248	31354	31606
249	31485	31485
250	31632	31380
251	31754	31250
252	31876	31120
253	31999	30991
254	32128	30868
255	32250	30738
256	32374	30610
257	32496	30480
258	32616	30349
259	32748	30229
260	32880	30108
261	33014	29990
262	33138	29862
263	33260	29733
264	33383	29604
265	33505	29475
266	33635	29352
267	33783	29245
268	33916	29125
269	34035	28993
270	34169	28874
271	34289	28742
272	34412	28613
273	34538	28487
274	34653	28352
275	34780	28227
276	34910	28104
277	35037	27979
278	35156	27848
279	35286	27725
280	35418	27603
281	35542	27476
282	35665	27347
283	35784	27216
284	35916	27094
285	36048	26973
286	36181	26852
287	36332	26744
288	36458	26618
289	36588	26495
290	36710	26366
291	36833	26237
292	36948	26103
293	37069	25974
294	37191	25844
295	37319	25720
296	37442	25591
297	37584	25476
298	37712	25351
299	37841	25227
300	37961	25097
301	38080	24966
302	38207	24841
303	38339	24719
304	38457	24587
305	38585	24462
306	38713	24338
307	38829	24205
308	38954	24078
309	39078	23951
310	39199	23821
311	39323	23694
312	39451	23570
313	39572	23440
314	39688	23309
315	39816	23184
316	39944	23059
317	40076	22936
318	40202	22810
319	40328	22684
320	40461	22562
321	40593	22439
322	40753	22332
323	40878	22205
324	40997	22075
325	41124	21949
326	41249	21823
327	41376	21697
328	41496	21567
329	41618	21440
330	41743	21313
331	41871	21187
332	42005	21065
333	42142	20945
334	42270	20819
335	42401	20695
336	42530	20571
337	42659	20446
338	42810	20331
339	42960	20216
340	43108	20100
341	43253	19982
342	43402	19866
343	43548	19748
344	43692	19629
345	43825	19506
346	43945	19376
347	44073	19250
348	44223	19134
349	44360	19011
350	44485	18884
351	44616	18759
352	44740	18631
353	44869	18505
354	45002	18381
355	45127	18253
356	45250	18125
357	45374	17997
358	45503	17871
359	45626	17743
360	45748	17615
361	45867	17485
362	45996	17359
363	46121	17232
364	46254	17107
365	46377	16979
366	46504	16853
367	46632	16726
368	46750	16596
369	46874	16469
370	46990	16339
371	47117	16212
372	47245	16086
373	47374	15960
374	47504	15834
375	47639	15710
376	47771	15586
377	47908	15462
378	48036	15336
379	48158	15207
380	48285	15081
381	48412	14954
382	48541	14828
383	48674	14703
384	48809	14579
385	48944	14454
386	49074	14329
387	49202	14202
388	49328	14075
389	49445	13946
390	49574	13820
391	49701	13693
392	49831	13567
393	49958	13440
394	50082	13313
395	50213	13187
396	50331	13058
397	50465	12933
398	50597	12807
399	50721	12680
400	50857	12555
401	50977	12427
402	51102	12300
403	51223	12172
404	51350	12045
405	51482	11919
406	51601	11790
407	51721	11662
408	51845	11535
409	51977	11409
410	52104	11283
411	52231	11156
412	52353	11028
413	52487	10903
414	52615	10776
415	52743	10650
416	52873	10524
417	53004	10398
418	53128	10270
419	53261	10144
420	53378	10016
421	53524	9893
422	53659	9767
423	53781	9640
424	53909	9513
425	54042	9387
426	54187	9263
427	54327	9139
428	54466	9014
429	54593	8887
430	54720	8760
431	54836	8631
432	54970	8505
433	55104	8380
434	55228	8252
435	55352	8125
436	55479	7998
437	55617	7872
438	55742	7745
439	55869	7618
440	55992	7491
441	56117	7363
442	56235	7235
443	56347	7106
444	56465	6978
445	56586	6851
446	56712	6724
447	56844	6598
448	56976	6471
449	57095	6343
450	57224	6217
451	57346	6089
452	57469	5962
453	57596	5835
454	57718	5708
455	57841	5581
456	57976	5455
457	58100	5328
458	58223	5200
459	58345	5073
460	58466	4946
461	58588	4818
462	58703	4691
463	58820	4563
464	58951	4437
465	59081	4310
466	59201	4183
467	59324	4056
468	59457	3930
469	59577	3802
470	59700	3675
471	59830	3549
472	59960	3422
473	60092	3296
474	60213	3169
475	60337	3042
476	60462	2915
477	60586	2788
478	60712	2661
479	60835	2534
480	60959	2407
481	61088	2281
482	61228	2155
483	61353	2028
484	61484	1901
485	61616	1774
486	61754	1648
487	61879	1521
488	61997	1394
489	62127	1267
490	62257	1141
491	62390	1014
492	62516	887
493	62640	760
494	62757	633
495	62889	507
496	63022	380
497	63145	253
498	63270	126
499	63389	0
